ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU1645385839,9.25,1.6,3.68,9.83,3.25,-2.32,-0.24,-0.45,0.4784,1.742,1.724,3.989,1.48,19.345,,,,,,37.9
LU2555926372,19.71,4.4,10.44,22.44,9.86,-9.31,-0.79,-1.48,1.9159,1.636,1.643,2.118,1.426,10.29,,,,,,38.5
IE000IAPH329,8.58,2.25,2.68,10.07,3.07,-4.03,-0.05,-0.38,0.613,1.626,0.82,2.131,1.663,13.997,,,,,,29.7
IE0006O3TTP9,20.82,5.42,10.88,28.57,12.31,-9.08,-1.01,-1.63,2.5427,1.399,2.034,2.294,1.28,8.188,,,,,,55.0
IE00BG0TQB18,11.58,2.34,2.11,10.75,6.0,-5.52,-0.44,-0.86,0.8903,1.33,1.179,2.097,1.398,13.004,,,,,,39.8
IE000GE2BEZ9,7.74,2.28,1.33,5.7,3.34,-3.47,-0.28,-0.43,0.5815,1.241,1.838,2.229,1.255,13.312,,,,,,54.2
IE000XFCOS45,5.98,0.83,0.54,3.76,1.93,-1.7,-0.17,-0.24,0.3139,1.235,1.994,3.521,1.238,19.055,,,,,,55.7
IE0009XKZC98,5.99,0.83,0.57,3.77,1.94,-1.68,-0.17,-0.24,0.3106,1.234,1.996,3.571,1.237,19.286,,,,,,55.4
LU1720938841,10.28,3.03,4.34,14.69,5.49,-7.57,-0.54,-0.81,2.6409,1.219,1.344,1.358,1.298,3.894,,,,,,37.4
IE000Q7NR6I3,5.96,0.37,0.43,3.83,2.08,-1.95,-0.18,-0.28,0.3648,1.137,1.665,3.06,1.22,16.328,,,,,,58.7
IE000N852182,5.95,0.39,0.44,3.84,2.17,-1.94,-0.21,-0.29,0.3657,1.085,1.644,3.065,1.214,16.277,,,,,,58.7
IE000W1AURU9,8.19,2.35,1.34,7.51,4.52,-5.09,-0.35,-0.65,0.7335,1.017,1.244,1.609,1.215,11.165,,,,,,58.4
IE000WYX67F4,6.51,1.01,0.08,3.86,3.17,-2.48,-0.31,-0.4,0.5966,0.922,1.493,2.622,1.169,10.914,,,,,,55.4
IE0006OIQXE9,10.35,3.34,0.84,7.26,8.79,-6.88,-0.53,-1.09,1.7521,0.769,0.899,1.506,1.206,5.909,,,,,,54.2
IE000H92C4B8,6.19,2.16,0.43,4.23,3.39,-3.66,-0.3,-0.45,0.6248,0.766,1.082,1.691,1.153,9.91,,,,,,58.2
LU2095995895,6.1,1.14,5.27,8.59,3.27,-3.27,-0.31,-0.49,1.1877,0.766,0.791,1.864,1.188,5.133,,,,,,30.4
IE000ZWSN3F7,7.95,3.07,1.69,7.44,5.7,-5.09,-0.53,-0.77,1.3883,0.764,1.163,1.561,1.146,5.727,,,,,,52.6
IE00BKT6RT64,5.43,0.74,2.3,3.49,2.52,-1.84,-0.22,-0.33,0.4585,0.729,1.13,2.957,1.129,11.848,,,,,,55.1
IE00BF51K025,6.98,1.46,-0.36,6.17,4.65,-4.25,-0.41,-0.68,1.3924,0.729,0.827,1.644,1.17,5.015,,,,,,34.4
LU1459801434,6.41,1.87,1.24,5.24,3.91,-2.8,-0.37,-0.53,0.8432,0.719,0.988,2.291,1.14,7.599,,,,,,52.4
IE00093GOJ04,5.87,0.43,0.08,3.89,3.34,-2.04,-0.32,-0.42,0.6014,0.683,1.058,2.883,1.128,9.762,,,,,,44.7
LU1459801517,6.37,1.11,1.36,4.96,4.26,-3.27,-0.39,-0.59,0.8321,0.651,0.894,1.949,1.121,7.65,,,,,,54.6
IE0006YM7D84,7.7,2.6,1.74,8.03,6.37,-9.59,-0.59,-0.94,2.2741,0.644,0.88,0.802,1.125,3.385,,,,,,55.0
