ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE000YYE6WK5,37.79,-2.55,0.33,22.39,21.14,-14.01,-2.12,-2.92,4.2549,1.618,2.372,2.697,1.324,8.882,,,,,,56.9
IE00BL25JM42,26.79,12.08,23.34,50.82,15.14,-14.4,-1.28,-2.18,2.7866,1.532,1.936,1.861,1.319,9.613,,,,,,57.2
IE00BYM11H29,22.06,10.58,7.12,31.87,14.15,-17.07,-1.25,-2.03,2.8064,1.305,1.703,1.292,1.267,7.86,,,,,,56.4
LU1834988278,27.37,1.14,38.85,85.08,18.38,-21.09,-1.76,-2.84,5.6774,1.293,1.628,1.298,1.246,4.82,,,,,,56.2
IE0004U3TX15,35.97,28.14,25.26,99.69,25.73,-27.01,-2.5,-3.46,6.9706,1.258,1.884,1.332,1.236,5.161,,,,,,56.3
IE000XFCOS45,5.98,0.83,0.54,3.76,1.93,-1.7,-0.17,-0.24,0.3139,1.235,1.994,3.521,1.238,19.055,,,,,,55.7
IE0009XKZC98,5.99,0.83,0.57,3.77,1.94,-1.68,-0.17,-0.24,0.3106,1.234,1.996,3.571,1.237,19.286,,,,,,55.4
IE00BYML9W36,21.82,11.41,6.16,30.94,14.86,-18.52,-1.33,-2.18,3.3635,1.227,1.617,1.178,1.253,6.487,,,,,,55.9
IE0007HKA9K1,22.89,11.99,1.54,28.11,15.82,-19.55,-1.47,-2.28,3.7117,1.22,1.621,1.171,1.25,6.168,,,,,,56.6
IE000OJ5TQP4,31.21,-1.49,-17.67,16.27,23.04,-22.64,-1.68,-3.06,6.7406,1.199,1.573,1.378,1.273,4.63,,,,,,55.2
IE00018LB0D8,21.61,9.05,5.55,19.7,15.39,-16.1,-1.42,-2.24,3.2999,1.17,1.544,1.342,1.229,6.547,,,,,,55.5
IE00BFZXGZ54,25.11,16.99,7.07,41.47,18.46,-22.19,-1.83,-2.62,4.8403,1.165,1.614,1.131,1.225,5.187,,,,,,57.4
IE000KF370H3,20.25,11.07,2.02,23.56,14.35,-17.06,-1.39,-2.09,3.2477,1.161,1.589,1.187,1.228,6.235,,,,,,57.3
IE0008FB2WZ1,19.53,10.16,4.16,25.52,13.81,-17.07,-1.27,-1.96,2.8808,1.154,1.565,1.144,1.228,6.78,,,,,,55.2
IE000Q0IU5T1,28.52,17.09,-0.94,39.11,21.61,-25.54,-2.12,-3.01,6.2116,1.153,1.672,1.117,1.217,4.592,,,,,,56.3
IE000LSRKCB4,13.25,5.63,4.56,16.2,8.39,-10.58,-0.71,-1.21,1.3342,1.151,1.259,1.252,1.269,9.931,,,,,,57.1
IE000Q7NR6I3,5.96,0.37,0.43,3.83,2.08,-1.95,-0.18,-0.28,0.3648,1.137,1.665,3.06,1.22,16.328,,,,,,58.7
IE000716YHJ7,18.85,10.12,5.43,30.54,13.59,-16.6,-1.33,-1.88,3.167,1.123,1.583,1.136,1.22,5.953,,,,,,55.5
IE0000VX9GN7,19.17,12.0,5.03,30.62,14.17,-19.47,-1.33,-2.04,3.718,1.099,1.463,0.985,1.221,5.156,,,,,,55.7
IE000N852182,5.95,0.39,0.44,3.84,2.17,-1.94,-0.21,-0.29,0.3657,1.085,1.644,3.065,1.214,16.277,,,,,,58.7
IE000PEAJOT0,19.15,13.21,3.6,24.63,14.35,-19.34,-1.34,-2.05,3.9031,1.084,1.457,0.99,1.214,4.905,,,,,,57.6
DE000A2QP372,30.15,11.21,14.28,42.92,25.34,-34.05,-2.37,-3.74,11.4316,1.048,1.352,0.886,1.202,2.638,,,,,,57.3
IE0006VDD4K1,16.92,9.34,4.94,27.69,12.77,-17.48,-1.2,-1.9,3.1815,1.043,1.356,0.967,1.207,5.317,,,,,,55.8
IE000W1AURU9,8.19,2.35,1.34,7.51,4.52,-5.09,-0.35,-0.65,0.7335,1.017,1.244,1.609,1.215,11.165,,,,,,58.4
LU1829219390,28.97,11.13,14.25,43.33,25.18,-34.35,-2.41,-3.78,10.9785,1.008,1.293,0.843,1.194,2.639,,,,,,56.8
IE000BW2B3J3,18.25,-0.75,12.0,40.66,14.78,-17.79,-1.46,-2.19,4.8414,0.991,1.247,1.026,1.186,3.769,,,,,,55.7
IE00B5MTWD60,26.88,10.63,17.22,42.32,23.53,-29.85,-2.23,-3.58,9.7575,0.99,1.25,0.9,1.191,2.755,,,,,,56.1
IE000E7EI9P0,25.68,17.97,1.49,36.46,22.46,-28.67,-2.22,-3.2,7.1114,0.983,1.394,0.896,1.183,3.611,,,,,,55.3
IE000OHHIBC6,16.98,10.03,4.46,25.86,13.63,-17.01,-1.27,-1.92,3.2581,0.982,1.357,0.998,1.19,5.21,,,,,,55.5
IE000NITTFF2,21.09,15.05,-3.03,28.25,17.89,-23.09,-1.7,-2.56,5.2815,0.978,1.358,0.913,1.187,3.993,,,,,,56.3
